---- Log file ----
Sub Steps: 10
Relaxation Steps: 10
------------------
t total_energy length_error
0.0 1800.0 5.364418E-7
0.012499998 1799.9633 7.688999E-6
0.025000002 1799.8766 7.95722E-5
0.037499998 1799.6931 3.1718612E-4
0.049999986 1799.3673 8.504391E-4
0.062499974 1798.8535 0.0017735362
0.074999966 1798.0522 0.002996549
0.087499954 1796.9686 0.004205838
0.09999994 1795.6696 0.005378261
0.11249993 1794.2054 0.006243795
0.12499992 1792.7504 0.006535977
0.13749991 1791.4055 0.006048277
0.1499999 1789.8115 0.0052310973
0.16249989 1787.8673 0.004998341
0.17499988 1785.5693 0.0051286966
0.18749987 1782.9786 0.005801007
0.19999985 1779.9866 0.0070419163
0.21249984 1776.6088 0.008635327
0.22499983 1773.0414 0.010100663
0.23749982 1769.5826 0.0110322535
0.2499998 1762.1642 0.012479514
0.2624998 1759.5094 0.012395009
0.2749998 1756.7174 0.01150386
0.2874998 1753.6334 0.0116157085
0.29999977 1750.5352 0.011442512
0.31249976 1744.1326 0.012060285
0.32499975 1740.3556 0.009963125
0.33749974 1737.9187 0.009456068
0.34999973 1735.4357 0.0076117516
0.3624997 1732.7986 0.0073842704
0.3749997 1726.8289 0.011541262
0.3874997 1724.3788 0.0075019896
0.39999968 1721.8529 0.0078006685
0.41249967 1719.328 0.008264229
0.42499965 1713.5525 0.013803124
0.43749964 1711.5964 0.009330377
0.44999963 1709.4373 0.010853618
0.46249962 1706.5161 0.012596875
0.4749996 1703.7417 0.013466835
0.4874996 1701.6604 0.012247488
0.49999958 1698.7185 0.016022772
0.51249987 1697.9509 0.011254281
0.52500015 1697.2603 0.013410673
0.53750044 1696.8877 0.010532141
0.5500007 1696.4104 0.010069966
0.562501 1695.525 0.010991469
0.5750013 1695.1064 0.008673266
0.5875016 1694.6431 0.009077787
0.6000019 1692.0387 0.014106378
0.61250216 1691.8993 0.009766892
0.62500244 1691.5826 0.00807479
0.63750273 1691.164 0.0113147795
0.650003 1690.9156 0.008858204
0.6625033 1690.6108 0.01083079
0.6750036 1690.399 0.010950714
0.6875039 1690.2764 0.010741293
0.70000416 1690.2007 0.011349574
0.71250445 1690.2042 0.011039674
0.72500473 1690.2073 0.010875851
0.737505 1690.224 0.011029467
0.7500053 1690.2163 0.010690346
0.7625056 1690.1716 0.010660008
0.7750059 1690.0652 0.010927409
0.78750616 1689.8044 0.011812091
0.80000645 1689.7737 0.009904727
0.81250674 1689.6967 0.010424286
0.825007 1689.589 0.010975316
0.8375073 1689.5377 0.010465831
0.8500076 1689.4849 0.009926379
0.8625079 1689.4291 0.0106167495
0.87500817 1689.436 0.010243937
0.88750845 1689.4783 0.009792954
